date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-02-22,52.65,54.88,54.58,52.65,125756.19,2.64,5.08,52.394,56.338,58.325,163365.7,180870.21,243285.04,0.6
2018-02-14,52.42,52.6,51.92,51.15,94938.75,-0.31,-0.59,52.832,56.944,58.785,177916.44,188829.59,254593.96,0.46
2018-02-13,52.0,53.54,52.23,52.0,154487.91,0.68,1.32,54.284,57.764,59.523,194175.53,199218.85,260425.33,0.74
2018-02-12,51.9,52.15,51.58,49.5,149602.83,-0.05,-0.1,56.14,58.436,60.241,200513.26,197938.29,267484.51,0.72
2018-02-09,55.0,55.0,51.66,51.09,292042.81,-5.11,-9.0,58.332,59.128,61.053,214706.87,208782.89,280725.55,1.4
2018-02-08,58.19,59.0,56.77,55.9,198509.89,-2.41,-4.07,60.282,60.022,61.714,198374.73,213854.55,277257.39,0.95
2018-02-07,61.88,62.33,59.18,57.0,176234.2,-2.31,-3.76,61.056,60.261,62.055,199742.75,224273.07,277098.61,0.85
2018-02-06,61.39,61.94,61.51,60.35,186176.59,-1.04,-1.66,61.244,60.342,62.263,204262.17,250268.82,280228.95,0.89
2018-02-05,60.6,62.8,62.54,60.36,220570.88,1.14,1.86,60.732,60.321,62.411,195363.32,275163.35,284736.56,1.06
2018-02-02,59.9,61.7,61.41,59.5,210382.09,0.8,1.32,59.924,60.144,62.469,202858.9,300197.62,295939.93,1.01
2018-02-01,60.15,60.71,60.64,59.62,205349.97,0.51,0.85,59.762,60.312,62.669,229334.37,305699.87,296849.05,0.98
2018-01-31,58.62,60.25,60.12,58.6,198831.34,1.15,1.95,59.466,60.626,62.977,248803.39,320358.33,299759.73,0.95
2018-01-30,58.14,59.33,58.95,57.8,141682.31,0.47,0.8,59.44,61.282,63.385,296275.46,321631.82,300435.49,0.68
2018-01-29,60.66,60.85,58.5,58.35,258048.78,-2.0,-3.31,59.91,62.046,63.982,354963.38,337030.72,300369.57,1.24
2018-01-26,59.0,61.26,60.6,58.99,342759.47,1.45,2.45,60.364,62.978,64.567,397536.34,352668.21,292600.51,1.64
2018-01-25,59.86,59.86,59.16,58.33,302695.03,-0.8,-1.33,60.862,63.407,65.016,382065.36,340660.22,282367.17,1.45
2018-01-24,61.53,61.88,59.99,59.3,436191.69,-1.3,-2.12,61.786,63.849,65.45,391913.27,329924.14,273149.66,2.09
2018-01-23,60.77,62.57,61.3,60.76,435121.94,0.56,0.92,63.124,64.184,66.0,346988.18,310189.09,261539.26,2.09
2018-01-22,62.89,63.36,60.77,60.3,470913.59,-2.3,-3.65,64.182,64.501,66.288,319098.06,294309.77,247962.67,2.26
2018-01-19,63.82,63.98,63.09,62.49,265404.53,-0.69,-1.08,65.592,64.794,66.625,307800.07,291682.24,228987.94,1.27
2018-01-18,66.98,67.56,63.78,63.52,351934.62,-2.85,-4.28,65.952,65.025,66.902,299255.09,287998.24,222137.96,1.69
2018-01-17,66.28,68.16,66.68,65.9,211566.2,0.11,0.17,65.912,65.328,67.138,267935.01,279161.13,212993.5,1.01
2018-01-16,67.9,68.96,66.59,66.46,295671.38,-1.26,-1.86,65.244,65.487,67.209,273390.01,279239.17,215433.92,1.42
2018-01-15,64.98,68.0,67.82,64.97,414423.62,2.94,4.53,64.82,65.918,67.073,269521.47,263708.41,203648.35,1.99
2018-01-12,63.6,64.98,64.89,63.03,222679.62,1.27,2.0,63.996,66.155,66.859,275564.41,232532.8,189412.42,1.07
2018-01-11,62.8,64.38,63.58,62.45,195334.25,0.23,0.36,64.098,66.624,66.739,276741.39,224074.11,182833.85,0.94
2018-01-10,64.2,64.2,63.34,62.5,238841.19,-1.14,-1.77,64.744,67.051,66.747,290387.25,216375.17,179537.65,1.15
2018-01-09,63.5,65.05,64.47,63.05,276328.69,0.76,1.19,65.73,67.815,66.778,285088.33,212889.43,172552.94,1.33
2018-01-08,64.97,64.97,63.7,62.32,444638.28,-1.68,-2.57,67.016,68.076,66.843,257895.36,201615.57,166600.78,2.13
2018-01-05,66.78,67.04,65.4,65.0,228564.52,-1.41,-2.11,68.314,68.457,66.867,189501.2,166293.64,152929.48,1.1
2018-01-04,68.25,68.44,66.81,66.1,263563.59,-1.47,-2.15,69.15,68.779,66.749,171406.84,156277.68,150804.65,1.26
2018-01-03,70.65,70.88,68.27,67.55,212346.55,-2.63,-3.71,69.358,68.948,66.669,142363.08,146825.87,146640.86,1.02
2018-01-02,70.21,71.82,70.9,68.97,140363.84,0.7,1.0,69.9,68.932,66.573,140690.53,151628.67,148124.7,0.67
2017-12-29,69.7,71.0,70.19,68.2,102667.5,0.63,0.91,69.136,68.227,66.258,145335.78,143588.28,151964.71,0.49
2017-12-28,67.76,70.44,69.58,66.4,138092.73,1.82,2.69,68.6,67.563,65.86,143086.07,146292.04,155710.59,0.66
2017-12-27,70.01,70.28,67.85,67.45,118344.78,-3.13,-4.41,68.408,66.854,65.506,141148.52,141593.59,157115.51,0.57
2017-12-26,67.45,71.35,70.98,66.8,203983.78,3.88,5.78,68.538,66.443,65.332,151288.66,142700.14,158930.3,0.98
2017-12-25,67.68,69.6,67.08,66.28,163590.12,-0.43,-0.64,67.964,65.741,64.967,162566.81,132216.46,155409.81,0.78
2017-12-22,68.31,68.82,67.51,67.2,91418.94,-1.02,-1.49,67.318,65.609,64.828,141840.78,131585.98,155855.37,0.44
2017-12-21,68.2,69.7,68.62,67.71,128404.96,0.13,0.19,66.526,65.276,64.74,149498.01,139565.32,160111.4,0.62
2017-12-20,67.88,68.6,68.5,67.37,169045.48,0.4,0.59,65.3,64.719,64.629,142038.66,145331.62,162622.79,0.81
2017-12-19,63.5,68.68,68.11,63.4,260374.55,4.28,6.71,64.348,64.39,64.663,134111.63,146455.84,163201.81,1.25
2017-12-18,62.98,64.4,63.85,62.71,59959.97,0.34,0.54,63.518,64.214,64.814,101866.12,144620.73,161019.74,0.29
2017-12-15,62.16,64.12,63.55,62.16,129705.07,1.05,1.68,63.9,64.289,65.164,121331.18,160341.14,167210.85,0.62
2017-12-14,63.7,63.74,62.49,62.35,91108.25,-1.23,-1.93,64.026,64.158,65.572,129632.64,165129.14,172110.02,0.44
2017-12-13,63.25,63.9,63.74,62.36,129410.3,-0.27,-0.42,64.138,64.158,65.955,148624.58,172637.42,178614.17,0.62
2017-12-12,65.19,65.65,63.96,63.91,99146.99,-1.75,-2.66,64.432,64.22,66.182,158800.06,175160.46,181520.65,0.48
2017-12-11,63.98,65.95,65.76,63.1,157285.31,1.58,2.46,64.91,64.192,66.503,187375.35,178603.16,188438.21,0.75
2017-12-08,62.73,64.57,64.18,62.0,171212.34,1.14,1.81,64.678,64.046,66.589,199351.11,180124.76,191002.85,0.82
2017-12-07,64.9,64.9,63.05,62.2,186067.95,-2.11,-3.24,64.29,64.203,66.751,200625.63,180657.48,201298.64,0.89
2017-12-06,65.5,65.99,65.21,62.84,180287.69,-1.16,-1.75,64.178,64.539,66.691,196650.27,179913.97,197127.3,0.86
2017-12-05,63.83,66.55,66.35,63.76,242023.47,1.68,2.6,64.008,64.936,66.5,191520.86,179947.78,198385.56,1.16
2017-12-04,61.89,64.96,64.6,61.85,217164.08,2.42,3.89,63.474,65.414,66.306,169830.97,177418.75,195763.22,1.04
2017-12-01,62.33,64.26,62.24,61.84,177584.98,-0.24,-0.38,63.414,66.038,66.154,160898.42,174080.56,191745.49,0.85
2017-11-30,63.55,63.6,62.49,61.8,166191.11,-1.85,-2.88,64.116,66.986,66.189,160689.33,179090.91,189807.03,0.8
2017-11-29,64.08,65.5,64.36,62.81,154640.64,0.63,0.99,64.9,67.752,66.242,163177.67,184590.91,188147.01,0.74
2017-11-28,63.95,64.73,63.68,62.7,133574.02,-0.58,-0.9,65.864,68.144,66.187,168374.71,187880.84,189822.75,0.64
2017-11-27,65.0,65.4,64.3,62.8,172501.34,-1.42,-2.16,67.354,68.813,66.2,185006.53,198273.26,189763.32,0.83
2017-11-24,66.18,66.3,65.75,64.2,176539.55,-0.62,-0.93,68.662,69.131,66.193,187262.7,201880.94,191560.36,0.85
2017-11-23,69.27,69.52,66.41,65.4,178632.78,-2.83,-4.09,69.856,69.298,65.947,197492.49,221939.8,191141.57,0.86
2017-11-22,71.8,73.05,69.18,68.45,180625.84,-1.87,-2.63,70.604,68.842,65.639,206004.15,214340.64,190422.46,0.87
2017-11-21,70.0,72.68,71.13,69.57,216733.12,0.31,0.44,70.424,68.064,65.164,207386.98,216823.33,185223.47,1.04
2017-11-20,70.27,72.58,70.84,68.95,183782.2,-0.88,-1.23,70.272,67.198,64.598,211540.0,214107.7,180946.35,0.88
2017-11-17,69.59,72.6,71.72,68.94,227688.52,1.62,2.31,69.6,66.269,63.99,216499.18,209410.42,174970.35,1.09
2017-11-16,67.05,70.77,70.15,66.9,221191.09,1.89,2.77,68.74,65.392,63.313,246387.11,200523.15,167443.29,1.06
2017-11-15,69.02,70.86,68.28,67.2,187539.95,-1.99,-2.83,67.08,64.733,62.803,222677.12,191703.12,163749.81,0.9
2017-11-14,68.13,71.29,70.37,66.86,237498.23,3.05,4.53,65.704,64.231,62.369,226259.69,191764.67,162427.89,1.14
2017-11-13,67.3,68.83,67.48,66.81,208578.12,0.13,0.19,64.124,63.586,61.762,216675.41,181253.37,154578.38,1.0
2017-11-10,61.55,68.01,67.42,61.44,377128.16,5.59,9.04,62.938,63.254,61.316,202321.65,181239.78,152697.14,1.81
2017-11-09,61.0,61.87,61.85,60.75,102641.15,0.45,0.73,62.044,62.595,60.844,154659.19,160343.33,144492.79,0.49
2017-11-08,62.37,63.38,61.4,60.61,205452.77,-1.07,-1.71,62.386,62.436,60.618,160729.11,166504.28,150774.89,0.99
2017-11-07,61.36,63.95,62.47,61.05,189576.83,0.92,1.5,62.758,62.264,60.315,157269.65,153623.61,151213.23,0.91
2017-11-06,62.86,62.95,61.55,60.51,136809.34,-1.4,-2.22,63.048,61.997,59.919,145831.34,147784.99,164377.82,0.66
2017-11-03,63.45,64.0,62.95,62.06,138815.88,-0.61,-0.96,63.57,61.71,59.66,160157.9,140530.29,167656.35,0.67
2017-11-02,63.44,64.3,63.56,61.6,132990.73,0.3,0.47,63.146,61.234,59.346,166027.47,134363.43,166017.69,0.64
2017-11-01,63.15,66.25,63.26,62.81,188155.45,-0.66,-1.03,62.486,60.873,59.031,172279.46,135796.5,163997.24,0.9
2017-10-31,63.33,65.0,63.92,62.5,132385.28,-0.24,-0.37,61.77,60.507,58.755,149977.57,133091.11,160764.48,0.63
2017-10-30,61.24,64.6,64.16,61.0,208442.17,3.33,5.47,60.946,59.937,58.518,149738.64,127903.38,158895.0,1.0
2017-10-27,60.27,61.81,60.83,60.27,168163.7,0.57,0.95,59.85,59.379,58.263,120902.67,124154.5,156582.12,0.81
2017-10-26,59.43,61.6,60.26,59.2,164250.7,0.58,0.97,59.322,59.092,58.119,102699.39,128642.25,154821.32,0.79
2017-10-25,59.8,60.37,59.68,58.77,76646.0,-0.12,-0.2,59.26,58.8,57.988,99313.54,135045.5,155547.95,0.37
2017-10-24,58.4,60.77,59.8,58.06,131190.64,1.12,1.91,59.244,58.366,57.844,116204.66,148802.86,156647.54,0.63
2017-10-23,58.56,59.1,58.68,58.04,64262.31,0.49,0.84,58.928,57.841,57.715,106068.12,180970.65,158093.57,0.31
2017-10-20,59.19,59.59,58.19,58.12,77147.32,-1.76,-2.94,58.908,57.61,57.621,127406.32,194782.41,161672.0,0.37
2017-10-19,59.72,60.19,59.95,58.86,147321.45,0.35,0.59,58.862,57.458,57.556,154585.1,197671.95,166323.87,0.71
2017-10-18,58.39,59.68,59.6,57.62,161101.56,1.38,2.37,58.34,57.188,57.376,170777.45,192197.98,166782.05,0.77
2017-10-17,58.1,59.2,58.22,57.59,80507.97,-0.36,-0.61,57.488,57.002,57.239,181401.06,188437.85,166329.04,0.39
2017-10-16,58.0,59.25,58.58,57.45,170953.31,0.62,1.07,56.754,57.098,57.219,255873.17,189886.62,176941.01,0.82
2017-10-13,57.3,58.61,57.96,57.3,213041.19,0.62,1.08,56.312,57.146,57.159,262158.49,189009.74,181315.29,1.02
2017-10-12,55.05,57.5,57.34,55.01,228283.23,2.0,3.61,56.054,57.145,57.232,240758.81,181000.38,174975.19,1.09
2017-10-11,54.2,55.68,55.34,54.05,214219.58,0.79,1.45,56.036,57.175,57.33,213618.51,176050.41,169918.15,1.03
2017-10-10,56.15,56.64,54.55,53.51,452868.56,-1.82,-3.23,56.516,57.322,57.579,195474.65,164492.22,164327.25,2.17
2017-10-09,58.05,58.28,56.37,55.72,202379.88,-0.3,-0.53,57.442,57.589,57.927,123900.06,135216.49,149529.38,0.97
2017-09-29,57.24,57.4,56.67,56.55,106042.79,-0.58,-1.01,57.98,57.631,58.152,115860.99,128561.6,145138.12,0.51
2017-09-28,57.5,57.85,57.25,56.79,92581.74,-0.49,-0.85,58.236,57.654,58.333,121241.96,134975.79,150760.84,0.44
2017-09-27,58.7,58.9,57.74,57.6,123500.27,-1.44,-2.43,58.314,57.564,58.543,138482.31,141366.12,152417.87,0.59
2017-09-26,59.05,59.47,59.18,58.51,94995.62,0.12,0.2,58.128,57.475,58.758,133509.78,144220.22,156469.31,0.46
2017-09-25,57.51,59.18,59.06,57.5,162184.52,1.11,1.92,57.736,57.339,59.055,146532.93,163995.41,154701.75,0.78
2017-09-22,57.4,58.31,57.95,57.21,132947.66,0.31,0.54,57.282,57.172,59.37,141262.2,173620.83,154514.88,0.64
2017-09-21,56.7,58.08,57.64,56.22,178783.48,0.83,1.46,57.072,57.319,59.682,148709.62,168949.99,154573.3,0.86
2017-09-20,57.25,57.56,56.81,56.65,98637.63,-0.41,-0.72,56.814,57.485,59.855,144249.92,163785.89,149240.1,0.47
2017-09-19,57.02,57.85,57.22,56.75,160111.34,0.43,0.76,56.822,57.835,60.091,154930.66,164162.28,149880.02,0.77
2017-09-18,56.8,57.68,56.79,56.48,135830.91,-0.11,-0.19,56.942,58.265,60.223,181457.89,163842.26,146833.21,0.65
2017-09-15,56.42,57.42,56.9,55.5,170184.72,0.55,0.98,57.062,58.673,60.328,205979.46,161714.64,145128.15,0.82
2017-09-14,56.83,57.1,56.35,55.95,156485.02,-0.5,-0.88,57.566,59.011,60.478,189190.37,166545.89,140933.74,0.75
2017-09-13,57.79,57.79,56.85,56.61,152041.3,-0.97,-1.68,58.156,59.522,60.656,183321.86,163469.63,137486.81,0.73
2017-09-12,57.49,57.86,57.82,56.32,292747.5,0.43,0.75,58.848,60.041,60.868,173393.91,168718.41,133528.28,1.4
2017-09-11,59.4,59.6,57.39,57.36,258438.77,-2.03,-3.42,59.588,60.772,61.07,146226.63,145408.08,123804.64,1.24
2017-09-08,59.28,59.8,59.42,58.76,86239.27,0.12,0.2,60.284,61.568,61.227,117449.81,135408.92,115798.1,0.41
2017-09-07,60.4,60.5,59.3,58.98,127142.48,-1.01,-1.68,60.456,62.044,61.288,143901.42,140196.61,116864.49,0.61
2017-09-06,61.05,61.13,60.31,60.01,102401.52,-1.21,-1.97,60.888,62.226,61.35,143617.39,134694.31,114670.29,0.49
2017-09-05,60.8,61.85,61.52,60.0,156911.12,0.65,1.07,61.234,62.348,61.399,164042.91,135597.75,113268.87,0.75
2017-09-04,59.9,60.95,60.87,59.81,114554.66,0.59,0.98,61.956,62.181,61.445,144589.53,129824.16,109985.9,0.55
2017-09-01,61.5,62.67,60.28,59.86,218497.31,-1.18,-1.92,62.852,61.982,61.434,153368.03,128541.66,108138.86,1.05
2017-08-31,62.0,62.54,61.46,60.55,125722.33,-0.58,-0.94,63.632,61.945,61.451,136491.81,115321.59,102365.29,0.6
2017-08-30,64.8,65.13,62.04,61.69,204529.11,-3.09,-4.74,63.564,61.79,61.461,125771.24,111504.0,101853.92,0.98
2017-08-29,64.84,65.88,65.13,64.13,59644.26,-0.22,-0.34,63.462,61.694,61.545,107152.59,98338.15,102207.59,0.29
2017-08-28,64.36,66.86,65.35,63.86,158447.16,1.17,1.82,62.406,61.367,61.449,115058.78,102201.19,110072.37,0.76
2017-08-25,61.02,64.98,64.18,60.73,134116.19,3.06,5.01,61.112,60.885,61.055,103715.28,96187.28,110145.89,0.64
2017-08-24,61.16,62.9,61.12,60.7,72119.48,-0.41,-0.67,60.258,60.531,60.776,94151.38,93532.36,105610.82,0.35
2017-08-23,59.25,62.48,61.53,59.25,111435.87,1.68,2.81,60.016,60.474,60.686,97236.76,94646.27,105827.02,0.53
2017-08-22,58.58,60.22,59.85,58.55,99175.21,0.97,1.65,59.926,60.45,60.56,89523.72,90940.0,105887.39,0.48
2017-08-21,59.5,60.16,58.88,58.3,101729.64,-1.03,-1.72,60.328,60.708,60.562,89343.61,90147.64,104734.42,0.49
2017-08-18,59.41,60.98,59.91,59.39,86296.68,0.0,0.0,60.658,60.886,60.603,88659.28,87736.06,106190.5,0.41
2017-08-17,61.0,61.2,59.91,59.38,87546.38,-1.17,-1.92,60.804,60.956,60.581,92913.35,89408.98,107616.47,0.42
2017-08-16,61.0,61.74,61.08,60.0,72870.67,-0.78,-1.26,60.932,61.131,60.638,92055.78,92203.85,110379.42,0.35
2017-08-15,60.55,63.5,61.86,60.28,98274.66,1.33,2.2,60.974,61.396,60.631,92356.27,106077.03,114585.21,0.47
2017-08-14,60.1,61.65,60.53,58.9,98308.0,-0.11,-0.18,61.088,61.531,60.616,90951.68,117943.55,118693.92,0.47
2017-08-11,59.48,60.95,60.64,59.2,107567.02,0.09,0.15,61.114,61.224,60.611,86812.85,124104.5,123397.52,0.52
2017-08-10,61.11,61.76,60.55,59.05,83258.55,-0.26,-0.43,61.108,61.021,60.462,85904.61,117689.27,124017.32,0.4
2017-08-09,61.8,62.37,61.29,61.0,74373.14,-1.14,-1.83,61.33,60.898,60.293,92351.91,117007.77,128244.23,0.36
2017-08-08,60.27,62.89,62.43,60.05,91251.68,1.77,2.92,61.818,60.671,59.941,119797.78,120834.78,129950.77,0.44
2017-08-07,60.3,61.8,60.66,59.5,77613.86,0.05,0.08,61.974,60.416,59.593,144935.42,119321.2,128944.74,0.37
2017-08-04,61.25,61.75,60.61,59.68,103025.83,-1.05,-1.7,61.334,60.32,59.332,161396.14,124644.93,128902.52,0.49
2017-08-03,63.3,63.72,61.66,61.55,115495.04,-2.07,-3.25,60.934,60.206,59.096,149473.93,125823.97,129569.13,0.55
2017-08-02,63.0,65.13,63.73,61.14,211602.48,0.52,0.82,60.466,60.145,58.824,141663.63,128554.99,134351.64,1.01
2017-08-01,57.62,63.21,63.21,57.62,216939.89,5.75,10.01,59.524,59.865,58.322,121871.79,123093.4,133977.7,1.04
2017-07-31,58.58,58.83,57.46,57.03,159917.48,-1.15,-1.96,58.858,59.7,57.664,93706.97,119444.29,128117.24,0.77
2017-07-28,58.75,59.57,58.61,58.3,43414.77,-0.71,-1.2,59.306,59.997,57.304,87893.72,122690.54,126325.49,0.21
2017-07-27,58.6,59.55,59.32,57.73,76443.52,0.3,0.51,59.478,59.903,56.943,102174.0,130345.37,128208.87,0.37
2017-07-26,59.54,59.8,59.02,57.4,112643.28,-0.86,-1.44,59.824,59.687,56.525,115446.34,139480.7,127902.56,0.54
2017-07-25,59.17,60.35,59.88,58.4,76115.81,0.18,0.3,60.206,59.211,56.089,124315.01,139066.76,126467.85,0.36
2017-07-24,59.03,61.6,59.7,59.03,130851.21,0.23,0.39,60.542,58.769,55.667,145181.62,138568.28,127747.21,0.63
2017-07-21,60.5,60.65,59.47,59.12,114816.19,-1.58,-2.59,60.688,58.344,55.245,157487.36,133160.1,132155.3,0.55
2017-07-20,60.5,61.99,61.05,59.01,142805.23,0.12,0.2,60.328,57.985,54.875,158516.75,133314.29,132712.86,0.68
2017-07-19,61.06,62.45,60.93,60.43,156986.61,-0.63,-1.02,59.55,57.503,54.347,163515.05,140148.29,134895.97,0.75
2017-07-18,59.97,61.83,61.56,58.88,180448.84,1.13,1.87,58.216,56.779,53.77,153818.52,144861.99,132835.0,0.87
2017-07-17,57.69,60.68,60.43,56.3,192379.92,2.76,4.79,56.996,55.628,53.138,131954.95,136790.18,131946.04,0.92
2017-07-14,57.0,57.97,57.67,56.2,119963.14,0.51,0.89,56.0,54.61,52.61,108832.84,129960.45,129170.65,0.58
2017-07-13,54.41,57.3,57.16,54.41,167796.75,2.9,5.34,55.642,53.983,52.186,108111.84,126072.36,127735.14,0.8
2017-07-12,55.22,57.14,54.26,53.9,108503.93,-1.2,-2.16,55.456,53.362,51.797,116781.53,116324.43,124103.41,0.52
2017-07-11,55.15,57.15,55.46,55.13,71131.0,0.01,0.02,55.342,52.967,51.577,135905.47,113868.94,126521.43,0.34
2017-07-10,55.21,57.03,55.45,54.88,76769.39,-0.43,-0.77,54.26,52.565,51.372,141625.42,116926.15,127549.42,0.37
2017-07-07,55.77,56.56,55.88,54.91,116358.12,-0.35,-0.62,53.22,52.145,51.241,151088.05,131150.5,128544.69,0.56
2017-07-06,53.7,56.5,56.23,53.32,211145.23,2.54,4.73,52.324,51.765,51.085,144032.87,132111.42,130305.38,1.01
2017-07-05,49.78,54.45,53.69,49.6,204123.62,3.64,7.27,51.268,51.191,50.863,115867.33,129643.65,124638.68,0.98
2017-07-04,49.87,50.17,50.05,49.05,99730.74,-0.2,-0.4,50.592,50.761,50.703,91832.41,120808.02,121140.82,0.48
2017-07-03,51.34,51.4,50.25,49.45,124082.53,-1.15,-2.24,50.87,50.648,50.747,92226.87,127101.9,121834.7,0.59
2017-06-30,50.51,51.49,51.4,50.51,81082.24,0.45,0.88,51.07,50.61,50.735,111212.95,128380.86,122782.06,0.39
2017-06-29,50.43,50.99,50.95,50.05,70317.52,0.64,1.27,51.206,50.389,50.705,120189.98,129397.92,124457.42,0.34
2017-06-28,51.0,51.15,50.31,50.2,83949.03,-1.13,-2.2,51.114,50.231,50.818,143419.97,131882.38,128020.27,0.4
2017-06-27,51.0,51.68,51.44,50.14,101703.04,0.19,0.37,50.93,50.187,50.956,149783.62,139173.91,129799.71,0.49
2017-06-26,51.87,53.35,51.25,50.9,219012.91,-0.83,-1.59,50.426,50.18,50.999,161976.92,138172.7,130389.95,1.05
2017-06-23,50.05,52.2,52.08,49.97,125967.39,1.59,3.15,50.15,50.337,51.043,145548.78,125938.87,125635.19,0.6
2017-06-22,49.31,51.79,50.49,49.31,186467.48,1.1,2.23,49.572,50.404,50.958,138605.87,128499.33,124685.85,0.89
2017-06-21,48.6,49.65,49.39,48.31,115767.27,0.47,0.96,49.348,50.534,50.984,120344.8,119633.71,122927.66,0.56
2017-06-20,49.95,49.97,48.92,48.0,162669.55,-0.95,-1.91,49.444,50.645,51.012,128564.2,121473.63,124500.38,0.78
2017-06-19,49.2,50.26,49.87,49.15,136872.19,0.68,1.38,49.934,50.845,50.969,114368.47,116567.51,120387.71,0.66
2017-06-16,49.3,49.84,49.19,48.98,91252.84,-0.18,-0.36,50.524,50.86,50.867,106328.97,117183.25,118136.03,0.44
2017-06-15,49.9,50.28,49.37,48.93,95162.15,-0.5,-1.0,51.236,51.021,50.825,118392.8,119516.92,121733.51,0.46
2017-06-14,51.34,51.37,49.87,49.34,156864.28,-1.5,-2.92,51.72,51.405,50.807,118922.62,124158.15,122885.81,0.75
2017-06-13,52.53,52.8,51.37,50.8,91690.91,-1.45,-2.75,51.846,51.725,50.765,114383.06,120425.52,121830.59,0.44
2017-06-12,52.41,54.0,52.82,51.99,96674.68,0.07,0.13,51.756,51.818,50.698,118766.54,122607.2,125385.23,0.46
2017-06-09,51.7,53.7,52.75,51.6,151571.98,0.96,1.85,51.196,51.748,50.484,128037.53,125331.51,129736.57,0.73
2017-06-08,50.51,51.83,51.79,50.3,97811.25,1.29,2.55,50.806,51.511,50.286,120641.03,120872.36,131578.81,0.47
2017-06-07,50.72,51.8,50.5,50.28,134166.48,-0.42,-0.82,51.09,51.433,50.044,129393.67,126221.61,132475.18,0.64
2017-06-06,49.58,51.11,50.92,49.48,113608.32,0.9,1.8,51.604,51.378,49.839,126467.97,127527.13,132750.36,0.54
2017-06-05,50.66,50.66,50.02,48.96,143029.61,-0.78,-1.53,51.88,51.092,49.588,126447.85,124207.91,133628.33,0.69
2017-06-02,52.78,52.99,50.8,50.5,114589.51,-2.41,-4.53,52.3,50.874,49.376,122625.5,119088.81,131526.44,0.55
2017-06-01,52.5,53.25,53.21,51.8,141574.44,0.14,0.26,52.216,50.628,49.113,121103.68,123950.11,130871.77,0.68
